,ANIO_DENUNCIA,ANIO_HECHO,CAPTURA,CONDENA,DELITO,DEPARTAMENTO,ESTADO_NOTICIA,ETAPA,GRUPO_EDAD_VICTIMA,HECHO,HOMICIDIO_DOLOSO_CONSUMADO,IMPUTACION,MUNICIPIO,PAIS,PAIS_NACIMIENTO,SEXO_VICTIMA,TOTAL_VICTIMAS,TOTAL_POBLACIÓN,TOTAL_FEMINICIDIOS,PORCENTAJE_TOTAL,PORCENTAJE_FEMINICIDIOS,MUNICIPIO_UNICO,PORCENTAJE_FEMINICIDIOS_UNICO
0,2010,2010,NO,NO,FEMINICIDIO ART. 104A C.P.,Bolívar,ACTIVO,INDAGACIÓN,SIN DATO,SI,NO,NO,CARTAGENA,Colombia,Colombia,FEMENINO,2,1057767,104,100%,0.0098320329524366%,CARTAGENA,0.0098320329524366%
1,2011,2011,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,INDAGACIÓN,ADOLESCENTE 14 - 17,SI,SI,NO,"BOGOTÁ, D.C.",Colombia,Colombia,FEMENINO,1,8380801,884,100%,0.0105479177944924%,"BOGOTÁ, D.C.",0.0105479177944924%
2,2011,2011,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,INDAGACIÓN,SIN DATO,SI,SI,NO,"BOGOTÁ, D.C.",Colombia,Colombia,,1,8380801,884,100%,0.0105479177944924%,BUCARAMANGA,0.013243228926239%
3,2012,2012,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,INDAGACIÓN,SIN DATO,SI,SI,NO,"BOGOTÁ, D.C.",Colombia,Colombia,FEMENINO,1,8380801,884,100%,0.0105479177944924%,SANTANDER DE QUILICHAO,0.0238376654979589%
4,2012,2012,NO,NO,FEMINICIDIO ART. 104A C.P.,Bolívar,ACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,SI,NO,NO,CARTAGENA,Colombia,Colombia,FEMENINO,1,1057767,104,100%,0.0098320329524366%,MONTELÍBANO,0.0143725815367606%
5,2012,2012,NO,NO,FEMINICIDIO ART. 104A C.P.,Bolívar,ACTIVO,INDAGACIÓN,JUVENTUD 18 - 28,SI,NO,NO,CARTAGENA,Colombia,Colombia,FEMENINO,1,1057767,104,100%,0.0098320329524366%,SAN CARLOS DE GUAROA,0.0348614258323165%
6,2013,2013,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,INDAGACIÓN,SIN DATO,SI,SI,NO,"BOGOTÁ, D.C.",Colombia,Colombia,,1,8380801,884,100%,0.0105479177944924%,POPAYÁN,0.0142047423051872%
7,2013,2013,NO,NO,FEMINICIDIO ART. 104A C.P.,Bolívar,ACTIVO,INDAGACIÓN,SIN DATO,SI,SI,NO,CARTAGENA,Colombia,Colombia,,1,1057767,104,100%,0.0098320329524366%,MONTERÍA,0.0048742548218036%
8,2014,2013,NO,NO,FEMINICIDIO ART. 104A C.P.,Santander,ACTIVO,INDAGACIÓN,SIN DATO,SI,NO,NO,BUCARAMANGA,Colombia,Colombia,,1,528572,70,100%,0.013243228926239%,SANTA MARTA,0.0143121303892327%
9,2014,2014,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,INDAGACIÓN,ADOLESCENTE 14 - 17,SI,NO,NO,"BOGOTÁ, D.C.",Colombia,Colombia,FEMENINO,1,8380801,884,100%,0.0105479177944924%,MONTENEGRO,0.00714353747975998%
10,2014,2014,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,SI,SI,NO,"BOGOTÁ, D.C.",Colombia,Colombia,FEMENINO,2,8380801,884,100%,0.0105479177944924%,CALI,0.0177859960117708%
11,2014,2014,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,INDAGACIÓN,JUVENTUD 18 - 28,SI,SI,NO,"BOGOTÁ, D.C.",Colombia,Colombia,FEMENINO,1,8380801,884,100%,0.0105479177944924%,SAN FRANCISCO,0.0829015544041451%
12,2014,2014,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,INDAGACIÓN,SIN DATO,SI,SI,NO,"BOGOTÁ, D.C.",Colombia,Colombia,,1,8380801,884,100%,0.0105479177944924%,TAURAMENA,0.00392927308447937%
13,2014,2014,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,INDAGACIÓN,SIN DATO,SI,SI,NO,"BOGOTÁ, D.C.",Colombia,Colombia,FEMENINO,1,8380801,884,100%,0.0105479177944924%,ANAPOIMA,0.0139557602400391%
14,2014,2014,NO,NO,FEMINICIDIO ART. 104A C.P.,Bolívar,ACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,SI,NO,NO,CARTAGENA,Colombia,Colombia,FEMENINO,1,1057767,104,100%,0.0098320329524366%,VILLAVICENCIO,0.00984166067810899%
15,2014,2014,NO,NO,FEMINICIDIO ART. 104A C.P.,Bolívar,ACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,SI,SI,NO,CARTAGENA,Colombia,Colombia,FEMENINO,1,1057767,104,100%,0.0098320329524366%,SANTIAGO,0.0689417442261289%
16,2014,2014,NO,NO,FEMINICIDIO ART. 104A C.P.,Bolívar,ACTIVO,INDAGACIÓN,SIN DATO,SI,NO,NO,CARTAGENA,Colombia,Colombia,FEMENINO,2,1057767,104,100%,0.0098320329524366%,BUENAVENTURA,0.00748307803943356%
17,2014,2014,NO,NO,FEMINICIDIO ART. 104A C.P.,Cauca,ACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,SI,NO,NO,SANTANDER DE QUILICHAO,Colombia,Colombia,FEMENINO,1,100681,24,100%,0.0238376654979589%,CURUMANÍ,0.022052661756274%
18,2014,2014,NO,NO,FEMINICIDIO ART. 104A C.P.,Córdoba,ACTIVO,INDAGACIÓN,JUVENTUD 18 - 28,SI,SI,NO,MONTELÍBANO,Colombia,Colombia,FEMENINO,1,90450,13,100%,0.0143725815367606%,URUMITA,0.00499126528574994%
19,2014,2014,NO,NO,FEMINICIDIO ART. 104A C.P.,Meta,ACTIVO,INDAGACIÓN,INFANCIA 6 - 11,SI,SI,NO,SAN CARLOS DE GUAROA,Colombia,Colombia,FEMENINO,1,11474,4,100%,0.0348614258323165%,SOLEDAD,0.00499308101630598%
20,2014,2014,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",INACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,NO,NO,NO,"BOGOTÁ, D.C.",Colombia,Colombia,FEMENINO,1,8380801,884,100%,0.0105479177944924%,TUNJA,0.00483580039750279%
21,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,SI,NO,NO,"BOGOTÁ, D.C.",Colombia,Colombia,FEMENINO,1,8380801,884,100%,0.0105479177944924%,MAICAO,0.0077079059398309%
22,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,SI,NO,NO,"BOGOTÁ, D.C.",Colombia,Colombia,MASCULINO,3,8380801,884,100%,0.0105479177944924%,TIERRALTA,0.00623852556904265%
23,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,INDAGACIÓN,JUVENTUD 18 - 28,SI,NO,NO,"BOGOTÁ, D.C.",Colombia,Colombia,FEMENINO,1,8380801,884,100%,0.0105479177944924%,BELLO,0.00559890261508744%
24,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,INDAGACIÓN,SIN DATO,SI,NO,NO,"BOGOTÁ, D.C.",Colombia,Colombia,FEMENINO,1,8380801,884,100%,0.0105479177944924%,PÁCORA,0.0942684766214178%
25,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,INDAGACIÓN,SIN DATO,SI,NO,NO,"BOGOTÁ, D.C.",Colombia,Colombia,MASCULINO,2,8380801,884,100%,0.0105479177944924%,MEDELLÍN,0.00836899237721034%
26,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,INDAGACIÓN,SIN DATO,SI,SI,NO,"BOGOTÁ, D.C.",Colombia,Colombia,FEMENINO,5,8380801,884,100%,0.0105479177944924%,EL BAGRE,0.00391006842619746%
27,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,INDAGACIÓN,SIN DATO,SI,SI,NO,"BOGOTÁ, D.C.",Colombia,Colombia,MASCULINO,1,8380801,884,100%,0.0105479177944924%,BARRANQUILLA,0.00693658029817616%
28,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,JUICIO,ADULTEZ 29 - 59,SI,SI,SI,"BOGOTÁ, D.C.",Colombia,Colombia,FEMENINO,1,8380801,884,100%,0.0105479177944924%,EL CARMEN DE BOLÍVAR,0.003768560158782%
29,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",INACTIVO,INDAGACIÓN,SIN DATO,SI,NO,NO,"BOGOTÁ, D.C.",Colombia,Colombia,FEMENINO,1,8380801,884,100%,0.0105479177944924%,ARGELIA,0.0995520159283226%
30,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",INACTIVO,INDAGACIÓN,SIN DATO,SI,SI,NO,"BOGOTÁ, D.C.",Colombia,Colombia,FEMENINO,5,8380801,884,100%,0.0105479177944924%,VALLEDUPAR,0.00814390478384885%
31,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",INACTIVO,INDAGACIÓN,SIN DATO,SI,SI,NO,"BOGOTÁ, D.C.",Colombia,Colombia,MASCULINO,2,8380801,884,100%,0.0105479177944924%,QUIBDO,0.0240711129451007%
32,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Bolívar,ACTIVO,INDAGACIÓN,ADOLESCENTE 14 - 17,SI,NO,NO,CARTAGENA,Colombia,Colombia,FEMENINO,1,1057767,104,100%,0.0098320329524366%,CERETÉ,0.00632011376204772%
33,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Cauca,ACTIVO,INDAGACIÓN,JUVENTUD 18 - 28,SI,NO,NO,POPAYÁN,Colombia,Colombia,FEMENINO,1,288636,41,100%,0.0142047423051872%,CIÉNAGA,0.0132316387384578%
34,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Córdoba,ACTIVO,INVESTIGACIÓN,SIN DATO,SI,NO,SI,MONTERÍA,Colombia,Colombia,FEMENINO,1,471867,23,100%,0.0048742548218036%,FUNDACIÓN,0.0416110407961579%
35,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Magdalena,ACTIVO,INDAGACIÓN,SIN DATO,SI,NO,NO,SANTA MARTA,Colombia,Colombia,FEMENINO,1,524031,75,100%,0.0143121303892327%,PUERTO GAITÁN,0.0784806152880239%
36,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Magdalena,ACTIVO,INDAGACIÓN,SIN DATO,SI,SI,NO,SANTA MARTA,Colombia,Colombia,FEMENINO,1,524031,75,100%,0.0143121303892327%,LEJANÍAS,0.0866832809621844%
37,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Quindío,ACTIVO,JUICIO,ADOLESCENTE 14 - 17,SI,NO,SI,MONTENEGRO,Colombia,Colombia,FEMENINO,1,41996,3,100%,0.00714353747975998%,TUMACO,0.00586989601253449%
38,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,SI,NO,NO,CALI,Colombia,Colombia,FEMENINO,2,2496346,444,100%,0.0177859960117708%,ARMENIA,0.796812749003984%
39,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,SI,SI,NO,CALI,Colombia,Colombia,FEMENINO,1,2496346,444,100%,0.0177859960117708%,FRESNO,0.0101136095472474%
40,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACIÓN,JUVENTUD 18 - 28,SI,SI,NO,CALI,Colombia,Colombia,FEMENINO,1,2496346,444,100%,0.0177859960117708%,LA UNIÓN,0.0459464978558301%
41,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACIÓN,SIN DATO,SI,SI,NO,CALI,Colombia,Colombia,FEMENINO,1,2496346,444,100%,0.0177859960117708%,JAMUNDÍ,0.00829938131884714%
42,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACIÓN,SIN DATO,SI,SI,NO,CALI,Colombia,Colombia,MASCULINO,2,2496346,444,100%,0.0177859960117708%,PALMIRA,0.0146302056498038%
43,2015,2015,NO,SI,FEMINICIDIO ART. 104A C.P.,Antioquia,INACTIVO,EJECUCIÓN DE PENAS,JUVENTUD 18 - 28,SI,SI,SI,SAN FRANCISCO,Colombia,Colombia,FEMENINO,1,4825,4,100%,0.0829015544041451%,TADÓ,0.0155981906098893%
44,2015,2015,NO,SI,FEMINICIDIO ART. 104A C.P.,Casanare,INACTIVO,EJECUCIÓN DE PENAS,JUVENTUD 18 - 28,SI,NO,SI,TAURAMENA,Colombia,Colombia,FEMENINO,1,25450,1,100%,0.00392927308447937%,YOPAL,0.0109056850694756%
45,2015,2015,NO,SI,FEMINICIDIO ART. 104A C.P.,Cundinamarca,ACTIVO,EJECUCIÓN DE PENAS,SIN DATO,SI,NO,SI,ANAPOIMA,Colombia,Colombia,FEMENINO,1,14331,2,100%,0.0139557602400391%,SUESCA,0.0156961230576048%
46,2015,2015,NO,SI,FEMINICIDIO ART. 104A C.P.,Cundinamarca,ACTIVO,EJECUCIÓN DE PENAS,SIN DATO,SI,NO,SI,ANAPOIMA,Colombia,Colombia,MASCULINO,1,14331,2,100%,0.0139557602400391%,PEREIRA,0.00727455630402657%
47,2015,2015,NO,SI,FEMINICIDIO ART. 104A C.P.,Meta,INACTIVO,EJECUCIÓN DE PENAS,ADULTEZ 29 - 59,SI,NO,SI,VILLAVICENCIO,Colombia,Colombia,FEMENINO,1,538527,53,100%,0.00984166067810899%,APARTADÓ,0.00435024288856128%
48,2015,2015,NO,SI,FEMINICIDIO ART. 104A C.P.,Meta,INACTIVO,EJECUCIÓN DE PENAS,ADULTO MAYOR DE 60,SI,NO,SI,VILLAVICENCIO,Colombia,Colombia,FEMENINO,1,538527,53,100%,0.00984166067810899%,ITUANGO,0.0156071168452815%
49,2015,2015,NO,SI,FEMINICIDIO ART. 104A C.P.,Meta,INACTIVO,EJECUCIÓN DE PENAS,JUVENTUD 18 - 28,SI,NO,SI,VILLAVICENCIO,Colombia,Colombia,FEMENINO,2,538527,53,100%,0.00984166067810899%,TOPAIPÍ,0.0672344240251009%
50,2015,2015,NO,SI,FEMINICIDIO ART. 104A C.P.,Norte de Santander,INACTIVO,EJECUCIÓN DE PENAS,ADULTEZ 29 - 59,SI,SI,SI,SANTIAGO,Colombia,Colombia,FEMENINO,1,2901,2,100%,0.0689417442261289%,FUSAGASUGÁ,0.00203209353049156%
51,2015,2015,NO,SI,FEMINICIDIO ART. 104A C.P.,Norte de Santander,INACTIVO,EJECUCIÓN DE PENAS,ADULTEZ 29 - 59,SI,SI,SI,SANTIAGO,Colombia,Colombia,MASCULINO,1,2901,2,100%,0.0689417442261289%,CÚCUTA,0.00440680704795341%
52,2015,2015,NO,SI,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,EJECUCIÓN DE PENAS,JUVENTUD 18 - 28,SI,SI,NO,BUENAVENTURA,Colombia,Colombia,FEMENINO,1,440995,33,100%,0.00748307803943356%,FLORIDA,0.0118229263431689%
53,2015,2015,SI,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,JUICIO,ADOLESCENTE 14 - 17,SI,NO,SI,"BOGOTÁ, D.C.",Colombia,Colombia,FEMENINO,1,8380801,884,100%,0.0105479177944924%,JERICÓ,0.0171247538316637%
54,2015,2015,SI,SI,FEMINICIDIO ART. 104A C.P.,Cauca,INACTIVO,EJECUCIÓN DE PENAS,SIN DATO,SI,NO,SI,POPAYÁN,Colombia,Colombia,FEMENINO,1,288636,41,100%,0.0142047423051872%,LA ESTRELLA,0.0237904065185714%
55,2015,2015,SI,SI,FEMINICIDIO ART. 104A C.P.,Cesar,INACTIVO,EJECUCIÓN DE PENAS,SIN DATO,SI,SI,SI,CURUMANÍ,Colombia,Colombia,FEMENINO,1,22673,5,100%,0.022052661756274%,TURBO,0.00496204039100878%
56,2015,2015,SI,SI,FEMINICIDIO ART. 104A C.P.,La Guajira,INACTIVO,EJECUCIÓN DE PENAS,ADOLESCENTE 14 - 17,SI,NO,SI,URUMITA,Colombia,Colombia,FEMENINO,1,20035,1,100%,0.00499126528574994%,LIBORINA,0.020831163420477%
57,2015,2015,SI,SI,FEMINICIDIO ART. 104A C.P.,Magdalena,INACTIVO,EJECUCIÓN DE PENAS,SIN DATO,SI,SI,SI,SANTA MARTA,Colombia,Colombia,FEMENINO,1,524031,75,100%,0.0143121303892327%,SABANETA,0.00724244070251675%
58,2015,2015,SI,SI,"FEMINICIDIO ART. 104A C.P. AGRAVADO POR VICTIMA MENOR DE 18 AÑOS, MAYOR DE 60 O EMBARAZO. ART. 104B L.B",Atlántico,ACTIVO,INVESTIGACIÓN,ADULTO MAYOR DE 60,SI,SI,SI,SOLEDAD,Colombia,Colombia,FEMENINO,1,700970,35,100%,0.00499308101630598%,CAMPO DE LA CRUZ,0.00682174773176888%
59,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",INACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,NO,NO,NO,"BOGOTÁ, D.C.",Colombia,Colombia,FEMENINO,1,8380801,884,100%,0.0105479177944924%,JUAN DE ACOSTA,0.00557880055788006%
60,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",INACTIVO,INDAGACIÓN,SIN DATO,NO,NO,NO,"BOGOTÁ, D.C.",Colombia,Colombia,FEMENINO,1,8380801,884,100%,0.0105479177944924%,SAN PABLO,0.0107642626480086%
61,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Boyaca,INACTIVO,INDAGACIÓN,SIN DATO,NO,NO,NO,TUNJA,Colombia,Colombia,FEMENINO,1,206791,10,100%,0.00483580039750279%,ARJONA,0.0050332192470304%
62,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,NO,SI,NO,CALI,Colombia,Colombia,FEMENINO,1,2496346,444,100%,0.0177859960117708%,SOGAMOSO,0.0108220228164314%
63,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACIÓN,ADULTO MAYOR DE 60,NO,SI,NO,CALI,Colombia,Colombia,MASCULINO,1,2496346,444,100%,0.0177859960117708%,AGUAZUL,0.0135192987990356%
64,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACIÓN,SIN DATO,NO,SI,NO,CALI,Colombia,Colombia,FEMENINO,3,2496346,444,100%,0.0177859960117708%,PATÍA,0.00529366612847728%
65,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Valle del Cauca,INACTIVO,INDAGACIÓN,SIN DATO,NO,SI,NO,CALI,Colombia,Colombia,MASCULINO,1,2496346,444,100%,0.0177859960117708%,EL PASO,0.0168783492974387%
66,2015,2015,SI,NO,FEMINICIDIO ART. 104A C.P.,Boyaca,INACTIVO,INDAGACIÓN,JUVENTUD 18 - 28,NO,NO,NO,TUNJA,Colombia,Colombia,FEMENINO,1,206791,10,100%,0.00483580039750279%,AGUACHICA,0.0102537810817739%
67,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,La Guajira,ACTIVO,INVESTIGACIÓN,PRE-ADOLESCENTE 12 - 13,NO,NO,NO,MAICAO,Colombia,Colombia,FEMENINO,1,168658,13,100%,0.0077079059398309%,ALTO BAUDO,0.00239320330262056%
68,2015,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,La Guajira,ACTIVO,INVESTIGACIÓN,SIN DATO,NO,NO,NO,MAICAO,Colombia,Colombia,FEMENINO,1,168658,13,100%,0.0077079059398309%,SAN BERNARDO DEL VIENTO,0.00547765118317266%
69,2016,2014,NO,NO,FEMINICIDIO ART. 104A C.P.,Córdoba,INACTIVO,INDAGACIÓN,JUVENTUD 18 - 28,SI,NO,NO,TIERRALTA,Colombia,Colombia,FEMENINO,1,112206,7,100%,0.00623852556904265%,EL RETORNO,0.0160140924013132%
70,2016,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Antioquia,ACTIVO,INDAGACIÓN,SIN DATO,SI,NO,NO,BELLO,Colombia,Colombia,FEMENINO,1,500098,28,100%,0.00559890261508744%,GUADALUPE,0.0631911532385466%
